SMILES,pIC50
CC(C)(C)OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(N)=O)CC1,9.398
CNC(=O)[C@@H]1[C@@H](CCCN=C(N)N)C(=O)N1C(=O)N1CCN(C(=O)OC(C)(C)C)CC1,9.155
N=C(N)NCCC[C@H]1C(=O)N(C(=O)N2CCN(C(=O)OCCc3ccccc3)CC2)[C@@H]1C(=O)O,9.155
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2cccc3ccccc23)CC1,9.000
N=C(N)NCCC[C@H]1C(=O)N(S(=O)(=O)c2ccc(-c3ccccc3)cc2)[C@@H]1C(=O)O,9.000
N=C(N)NCCC[C@H]1C(=O)N(C(=O)c2cccs2)[C@@H]1C(=O)O,9.000
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)Cc2ccc(OCc3ccccc3)cc2)CC1,9.000
N=C(N)NCCC[C@H]1C(=O)N(C(=O)c2ccc(-c3ccccc3)cc2)[C@@H]1C(=O)O,9.000
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCCc2cccc3ccccc23)CC1,9.000
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2ccccc2)CC1,9.000
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2ccccc2)CC1,9.000
O=C(O)[C@@H]1[C@@H](CC2CCNCC2)C(=O)N1C(=O)N1CCN(C(=O)CCCCCc2ccc3ccccc3c2)CC1,9.000
N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,8.770
N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)OCCCOc4ccccc4)CC3)[C@@H]2C(=O)O)C1,8.770
NCCCC[C@H]1C(=O)N(C(=O)N2CCN(C(=O)CCCCCc3ccccc3)CC2)[C@@H]1C(=O)O,8.770
N=C(N)NCCC[C@H]1C(=O)N(C(=O)N2CCN(C(=O)CCCCCc3ccccc3)CC2)[C@@H]1C(=O)O,8.770
N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)NCCCCc4ccccc4)CC3)[C@@H]2C(=O)O)C1,8.770
N=C(N)N1CCCC(C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCC4CCCCC4)CC3)[C@@H]2C(=O)O)C1,8.721
CC(C)(C)OC(=O)N1CCN(C(=O)N2C(=O)[C@H](CCCN=C(N)N)[C@H]2C(=O)N2CCCCC2)CC1,8.523
